Latitude,Longitude,Crash Type
35.66609,-88.3753,Property Damage
35.79327,-88.37538,Property Damage
35.68276,-88.37562,Property Damage
35.71377,-88.37585,Property Damage
35.66061,-88.37588,Property Damage
35.61544,-88.37601,Property Damage
35.67006,-88.37613,Property Damage
35.60493,-88.37653,Property Damage
35.66903,-88.37658,Property Damage
35.66603,-88.37715,Property Damage
35.60892,-88.37719,Property Damage
35.60911,-88.37724,Property Damage
35.63896,-88.37726,Property Damage
35.49597,-88.37738,Property Damage
35.49595,-88.37746,Property Damage
35.59629,-88.37748,Property Damage
35.79215,-88.37765,Property Damage
35.49315,-88.37776,Property Damage
35.49358,-88.37783,Property Damage
35.65658,-88.37789,Property Damage
35.65701,-88.37798,Property Damage
35.66315,-88.37803,Property Damage
35.66312,-88.37803,Property Damage
35.49549,-88.37805,Property Damage
35.4955,-88.37806,Property Damage
35.49635,-88.37811,Property Damage
35.49651,-88.37818,Property Damage
35.7184,-88.37831,Property Damage
35.79206,-88.37856,Property Damage
35.66131,-88.37859,Property Damage
35.66101,-88.37868,Property Damage
35.50203,-88.37882,Property Damage
35.79166,-88.37892,Property Damage
35.53976,-88.37911,Property Damage
35.71358,-88.37912,Property Damage
35.50477,-88.37914,Property Damage
35.50513,-88.37919,Property Damage
35.50512,-88.37922,Property Damage
35.65896,-88.37934,Property Damage
35.50693,-88.37938,Property Damage
35.659,-88.37941,Property Damage
35.66219,-88.37959,Property Damage
35.64187,-88.3797,Property Damage
35.66168,-88.37975,Property Damage
35.64185,-88.37981,Property Damage
35.64185,-88.37983,Property Damage
35.65922,-88.37985,Property Damage
35.79156,-88.37994,Property Damage
35.49453,-88.37998,Property Damage
35.513,-88.38,Property Damage
35.51595,-88.38044,Property Damage
35.65866,-88.38046,Property Damage
35.78247,-88.3807,Property Damage
35.65893,-88.38084,Property Damage
35.65819,-88.38096,Property Damage
35.64344,-88.38116,Property Damage
35.66366,-88.38127,Property Damage
35.52319,-88.38132,Property Damage
35.52343,-88.38135,Property Damage
35.80614,-88.38145,Property Damage
35.66366,-88.38156,Property Damage
35.64169,-88.38166,Property Damage
35.64217,-88.38206,Property Damage
35.53052,-88.38215,Property Damage
35.5308,-88.38219,Property Damage
35.53228,-88.38241,Property Damage
35.65676,-88.3825,Property Damage
35.64225,-88.3826,Property Damage
35.61945,-88.38271,Property Damage
35.61944,-88.38271,Property Damage
35.53711,-88.38296,Property Damage
35.79078,-88.38302,Property Damage
35.53996,-88.3833,Property Damage
35.5402,-88.38333,Property Damage
35.64168,-88.38361,Property Damage
35.6425,-88.38363,Property Damage
35.7825,-88.38369,Property Damage
35.64254,-88.38371,Property Damage
35.79039,-88.38391,Property Damage
35.544,-88.384,Property Damage
35.66419,-88.38426,Property Damage
35.66383,-88.38427,Property Damage
35.66383,-88.38428,Property Damage
35.70573,-88.38433,Property Damage
35.6686,-88.38434,Property Damage
35.66857,-88.38439,Property Damage
35.66223,-88.38447,Property Damage
35.66981,-88.38448,Property Damage
35.64291,-88.38453,Property Damage
35.79054,-88.38455,Property Damage
35.6738,-88.38484,Property Damage
35.55105,-88.38487,Property Damage
35.66081,-88.38489,Property Damage
35.67439,-88.38491,Property Damage
35.66055,-88.38491,Property Damage
35.6749,-88.38497,Property Damage
35.55256,-88.38508,Property Damage
35.55255,-88.38509,Property Damage
35.55261,-88.3851,Property Damage
35.65996,-88.38512,Property Damage
35.67636,-88.38513,Property Damage
35.55293,-88.38514,Property Damage
35.69491,-88.38517,Property Damage
35.70506,-88.38526,Property Damage
35.55441,-88.38538,Property Damage
35.65425,-88.38546,Property Damage
35.67951,-88.38552,Property Damage
35.6588,-88.38563,Property Damage
35.68211,-88.38571,Property Damage
35.64364,-88.38571,Property Damage
35.55738,-88.38573,Property Damage
35.68254,-88.38579,Property Damage
35.68412,-88.38591,Property Damage
35.68528,-88.38595,Property Damage
35.68665,-88.38606,Property Damage
35.65793,-88.38608,Property Damage
35.56,-88.3861,Property Damage
35.65787,-88.38612,Property Damage
35.68812,-88.38617,Property Damage
35.64402,-88.38617,Property Damage
35.68851,-88.38618,Property Damage
35.65769,-88.38623,Property Damage
35.68887,-88.38626,Property Damage
35.5614,-88.38634,Property Damage
35.6907,-88.38637,Property Damage
35.79022,-88.3864,Property Damage
35.69377,-88.38659,Property Damage
35.69484,-88.38667,Property Damage
35.65702,-88.38668,Property Damage
35.69456,-88.38671,Property Damage
35.56419,-88.38671,Property Damage
35.56408,-88.38671,Property Damage
35.69482,-88.38673,Property Damage
35.56458,-88.38676,Property Damage
35.56775,-88.38699,Property Damage
35.69818,-88.387,Property Damage
35.56647,-88.38706,Property Damage
35.6449,-88.38707,Property Damage
35.56655,-88.38707,Property Damage
35.56752,-88.3872,Property Damage
35.56747,-88.3872,Property Damage
35.56753,-88.38721,Property Damage
35.56763,-88.38722,Property Damage
35.56763,-88.38723,Property Damage
35.70239,-88.38726,Property Damage
35.70193,-88.38727,Property Damage
35.78264,-88.38731,Property Damage
35.64518,-88.38734,Property Damage
35.64517,-88.38736,Property Damage
35.70236,-88.3874,Property Damage
35.70424,-88.38741,Property Damage
35.70433,-88.38742,Property Damage
35.70433,-88.38745,Property Damage
35.70639,-88.3876,Property Damage
35.57106,-88.38771,Property Damage
35.64559,-88.38779,Property Damage
35.57177,-88.38779,Property Damage
35.65754,-88.38785,Property Damage
35.70916,-88.38801,Property Damage
35.65735,-88.38804,Property Damage
35.64593,-88.38814,Property Damage
35.64595,-88.38815,Property Damage
35.64596,-88.38817,Property Damage
35.57436,-88.38818,Property Damage
35.65723,-88.38819,Property Damage
35.64599,-88.3882,Property Damage
35.64603,-88.38824,Property Damage
35.64606,-88.38827,Property Damage
35.7899,-88.38829,Property Damage
35.6461,-88.38831,Property Damage
35.61493,-88.38834,Property Damage
35.55151,-88.38835,Property Damage
35.64615,-88.38836,Property Damage
35.64615,-88.38837,Property Damage
35.64621,-88.38843,Property Damage
35.79357,-88.38845,Property Damage
35.49333,-88.38856,Property Damage
35.71884,-88.38859,Property Damage
35.71375,-88.38863,Property Damage
35.64641,-88.38863,Property Damage
35.7896,-88.38872,Property Damage
35.64648,-88.38876,Property Damage
35.81367,-88.38878,Property Damage
35.63249,-88.38884,Property Damage
35.71886,-88.38889,Property Damage
35.65437,-88.38893,Property Damage
35.59524,-88.38904,Property Damage
35.59498,-88.38904,Property Damage
35.71834,-88.38907,Property Damage
35.59557,-88.38908,Property Damage
35.71853,-88.3891,Property Damage
35.59578,-88.3891,Property Damage
35.65419,-88.38911,Property Damage
35.65428,-88.38912,Property Damage
35.78943,-88.38917,Property Damage
35.71945,-88.38925,Property Damage
35.71926,-88.38925,Property Damage
35.65989,-88.3893,Property Damage
35.59727,-88.38936,Property Damage
35.64725,-88.38951,Property Damage
35.65617,-88.38954,Property Damage
35.58859,-88.3896,Property Damage
35.6389,-88.38973,Property Damage
35.58538,-88.38976,Property Damage
35.59085,-88.3898,Property Damage
35.7894,-88.38994,Property Damage
35.58712,-88.39,Property Damage
35.64269,-88.39005,Property Damage
35.80291,-88.39011,Property Damage
35.6556,-88.39019,Property Damage
35.64319,-88.39019,Property Damage
35.64791,-88.3902,Property Damage
35.65127,-88.39039,Property Damage
35.66151,-88.39043,Property Damage
35.65307,-88.39046,Property Damage
35.64438,-88.39047,Property Damage
35.64822,-88.39056,Property Damage
35.65298,-88.39059,Property Damage
35.64493,-88.39061,Property Damage
35.65671,-88.39064,Property Damage
35.72821,-88.39066,Property Damage
35.72946,-88.39073,Property Damage
35.64839,-88.39073,Property Damage
35.7899,-88.39078,Property Damage
35.7291,-88.39089,Property Damage
35.79658,-88.39092,Property Damage
35.79615,-88.39096,Property Damage
35.79552,-88.39102,Property Damage
35.72943,-88.39103,Property Damage
35.73064,-88.39109,Property Damage
35.65003,-88.39115,Property Damage
35.65003,-88.39116,Property Damage
35.64713,-88.39117,Property Damage
35.65254,-88.39121,Property Damage
35.79359,-88.39123,Property Damage
35.79346,-88.39123,Property Damage
35.79359,-88.39124,Property Damage
35.79359,-88.39125,Property Damage
35.78879,-88.39125,Property Damage
35.79322,-88.39127,Property Damage
35.78769,-88.39127,Property Damage
35.54908,-88.39133,Property Damage
35.64381,-88.39135,Property Damage
35.63579,-88.39136,Property Damage
35.78992,-88.39142,Property Damage
35.78992,-88.39147,Property Damage
35.70069,-88.39148,Property Damage
35.64902,-88.39149,Property Damage
35.79116,-88.3915,Property Damage
35.79108,-88.39151,Property Damage
35.70153,-88.39152,Property Damage
35.79096,-88.39153,Property Damage
35.64982,-88.39153,Property Damage
35.79087,-88.39154,Property Damage
35.79079,-88.39154,Property Damage
35.65222,-88.39155,Property Damage
35.79007,-88.39163,Property Damage
35.79001,-88.39164,Property Damage
35.78985,-88.39166,Property Damage
35.78984,-88.39166,Property Damage
35.7899,-88.39168,Property Damage
35.6492,-88.39169,Property Damage
35.7899,-88.3917,Property Damage
35.64921,-88.39171,Property Damage
35.78913,-88.39173,Property Damage
35.64923,-88.39173,Property Damage
35.78884,-88.39177,Property Damage
35.78863,-88.39179,Property Damage
35.64959,-88.39179,Property Damage
35.6492,-88.39179,Property Damage
35.78864,-88.39182,Property Damage
35.78862,-88.39183,Property Damage
35.64962,-88.39183,Property Damage
35.64933,-88.39186,Property Damage
35.64935,-88.39187,Property Damage
35.6481,-88.39197,Property Damage
35.64945,-88.39199,Property Damage
35.64948,-88.39202,Property Damage
35.64942,-88.39203,Property Damage
35.4939,-88.39205,Property Damage
35.78635,-88.39207,Property Damage
35.65183,-88.39207,Property Damage
35.78907,-88.39209,Property Damage
35.78931,-88.39213,Property Damage
35.64962,-88.39219,Property Damage
35.64934,-88.39219,Property Damage
35.65171,-88.39225,Property Damage
35.78455,-88.39229,Property Damage
35.70149,-88.39235,Property Damage
35.64846,-88.39235,Property Damage
35.64847,-88.39239,Property Damage
35.64985,-88.39245,Property Damage
35.78921,-88.39249,Property Damage
35.78266,-88.39252,Property Damage
35.64909,-88.39252,Property Damage
35.7015,-88.39262,Property Damage
35.6758,-88.39262,Property Damage
35.65139,-88.39266,Property Damage
35.63936,-88.39266,Property Damage
35.65137,-88.39267,Property Damage
35.78178,-88.39273,Property Damage
35.65012,-88.39274,Property Damage
35.65131,-88.39277,Property Damage
35.64882,-88.39278,Property Damage
35.7805,-88.39279,Property Damage
35.64886,-88.3928,Property Damage
35.65006,-88.39282,Property Damage
35.64892,-88.3929,Property Damage
35.6406,-88.39298,Property Damage
35.64903,-88.39299,Property Damage
35.64993,-88.393,Property Damage
35.64902,-88.39301,Property Damage
35.64091,-88.39304,Property Damage
35.74637,-88.39306,Property Damage
35.7928,-88.39307,Property Damage
35.65108,-88.39308,Property Damage
35.65112,-88.39309,Property Damage
35.65107,-88.3931,Property Damage
35.65105,-88.3931,Property Damage
35.65105,-88.39311,Property Damage
35.6505,-88.39316,Property Damage
35.64917,-88.39316,Property Damage
35.78858,-88.39318,Property Damage
35.65103,-88.39318,Property Damage
35.65096,-88.39324,Property Damage
35.65059,-88.39326,Property Damage
35.64972,-88.39327,Property Damage
35.65065,-88.39333,Property Damage
35.65067,-88.39336,Property Damage
35.65069,-88.39338,Property Damage
35.65074,-88.39343,Property Damage
35.64942,-88.39344,Property Damage
35.65079,-88.39348,Property Damage
35.65081,-88.39349,Property Damage
35.6508,-88.3935,Property Damage
35.65419,-88.39351,Property Damage
35.65084,-88.39353,Property Damage
35.65084,-88.39355,Property Damage
35.65076,-88.39355,Property Damage
35.64823,-88.39355,Property Damage
35.64951,-88.39356,Property Damage
35.6508,-88.39358,Property Damage
35.77458,-88.39362,Property Damage
35.65096,-88.39367,Property Damage
35.65095,-88.39367,Property Damage
35.65101,-88.39371,Property Damage
35.65062,-88.39371,Property Damage
35.65101,-88.39372,Property Damage
35.65103,-88.39373,Property Damage
35.65061,-88.39375,Property Damage
35.65106,-88.39381,Property Damage
35.65109,-88.39382,Property Damage
35.64846,-88.39382,Property Damage
35.65111,-88.39384,Property Damage
35.65116,-88.39387,Property Damage
35.65053,-88.39388,Property Damage
35.75474,-88.39391,Property Damage
35.64983,-88.39391,Property Damage
35.65118,-88.39392,Property Damage
35.65048,-88.39392,Property Damage
35.64853,-88.39394,Property Damage
35.6513,-88.39403,Property Damage
35.65128,-88.39403,Property Damage
35.64995,-88.39404,Property Damage
35.64996,-88.39406,Property Damage
35.65135,-88.39408,Property Damage
35.65135,-88.3941,Property Damage
35.65344,-88.39413,Property Damage
35.65005,-88.39414,Property Damage
35.65005,-88.39415,Property Damage
35.65005,-88.39416,Property Damage
35.64905,-88.39421,Property Damage
35.76854,-88.39425,Property Damage
35.65019,-88.3943,Property Damage
35.65156,-88.39431,Property Damage
35.65019,-88.39431,Property Damage
35.65023,-88.39434,Property Damage
35.65022,-88.39435,Property Damage
35.64894,-88.39437,Property Damage
35.65519,-88.3945,Property Damage
35.65173,-88.39452,Property Damage
35.65176,-88.39453,Property Damage
35.65173,-88.39453,Property Damage
35.65002,-88.39453,Property Damage
35.76707,-88.39456,Property Damage
35.65002,-88.39456,Property Damage
35.6518,-88.3946,Property Damage
35.7611,-88.39469,Property Damage
35.65189,-88.3947,Property Damage
35.6519,-88.39471,Property Damage
35.65192,-88.39473,Property Damage
35.64987,-88.39473,Property Damage
35.65195,-88.39476,Property Damage
35.76366,-88.3949,Property Damage
35.78856,-88.39491,Property Damage
35.64977,-88.39491,Property Damage
35.65212,-88.39495,Property Damage
35.60635,-88.39498,Property Damage
35.64962,-88.39508,Property Damage
35.65088,-88.39509,Property Damage
35.65225,-88.3951,Property Damage
35.64959,-88.39511,Property Damage
35.64538,-88.39513,Property Damage
35.65229,-88.39514,Property Damage
35.64955,-88.39518,Property Damage
35.65104,-88.39525,Property Damage
35.65247,-88.39533,Property Damage
35.65268,-88.39557,Property Damage
35.65274,-88.39562,Property Damage
35.65143,-88.3957,Property Damage
35.64143,-88.39572,Property Damage
35.64912,-88.39575,Property Damage
35.65306,-88.39604,Property Damage
35.63878,-88.39631,Property Damage
35.64197,-88.39644,Property Damage
35.65341,-88.3965,Property Damage
35.65344,-88.39659,Property Damage
35.64845,-88.39672,Property Damage
35.64835,-88.39686,Property Damage
35.65206,-88.39689,Property Damage
35.78807,-88.39692,Property Damage
35.61448,-88.39692,Property Damage
